暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
74·G016@R5,74·G016,R5,74avg·R5,1441.41,4150.21,92.8,45.04,1.9213,2.0,1.0,否,否,—,43.53,42.07,0.0,18.82,845.15,845.16,42.25,left,幾何二分法,17,✅,0.4137,18.74,
628-23(2),628-23,R5,b,736.59,4150.21,92.8,45.04,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,9.06,430.68,430.68,9.06,right,幾何二分法,17,✅,0.4153,9.02,
628-22(2),628-22,R5,b,891.09,4150.21,92.8,45.04,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,11.07,520.82,520.82,20.13,right,幾何二分法,17,✅,0.4155,11.02,
74·G003@R5,74·G003,R5,74avg·R5,1308.08,4150.21,92.8,45.04,1.9213,2.0,0.0,否,否,—,0.0,0.0,0.0,16.55,767.93,767.94,36.68,right,幾何二分法,15,✅,0.4129,16.48,
628-21(2),628-21,R5,b,806.84,4150.21,92.8,45.04,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,10.29,471.09,471.09,46.97,right,幾何二分法,15,✅,0.4161,10.25,
R5-抵費地,—,R5,—,0.0,4150.21,92.8,45.04,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,162.73,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-41(1),628-41,R2,b,561.0,4368.6,100.03,43.9,1.8386,2.0,1.0,是,是,左側,44.95,8.66,64.51,8.68,307.33,307.34,8.68,left,幾何二分法,18,✅,0.4522,8.66,
628-40(1),628-40,R2,b,628.71,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,16.75,32.11,8.11,363.79,363.78,16.79,left,幾何二分法,17,✅,0.4214,8.09,
628-39(1),628-39,R2,b,489.0,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,23.24,3.35,6.51,291.42,291.42,23.3,left,幾何二分法,17,✅,0.404,6.49,
628-31(2),628-31,R2,b,795.25,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,33.86,0.0,10.65,476.03,476.03,33.95,left,幾何二分法,18,✅,0.4014,10.62,
74·G003@R2,74·G003,R2,74avg·R2,560.7,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,41.36,0.0,7.52,335.6,335.6,41.47,left,幾何二分法,17,✅,0.4015,7.5,
628-34(1),628-34,R2,b,1005.65,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,13.65,601.64,601.64,13.65,right,幾何二分法,18,✅,0.4017,13.62,
628-32(2),628-32,R2,b,867.95,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,11.75,519.32,519.31,25.4,right,幾何二分法,16,✅,0.4017,11.72,
74·G025@R2,74·G025,R2,74avg·R2,272.45,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,3.68,163.02,163.02,29.08,right,幾何二分法,16,✅,0.4017,3.67,
74·G016@R2,74·G016,R2,74avg·R2,615.58,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,8.31,368.36,368.36,37.39,right,幾何二分法,16,✅,0.4016,8.29,
74·G012@R2,74·G012,R2,74avg·R2,261.0,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,3.52,156.18,156.19,40.91,right,幾何二分法,14,✅,0.4016,3.51,
R2-抵費地,—,R2,—,0.0,4368.6,100.03,43.9,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,785.22,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-34(2),628-34,R3,b,442.5,4206.8,93.41,43.64,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,5.89,257.91,257.91,5.89,left,幾何二分法,16,✅,0.4172,5.86,
628-48(1),628-48,R3,b,737.0,4206.8,93.41,43.64,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,9.8,429.6,429.59,15.69,left,幾何二分法,17,✅,0.4171,9.76,
628-32(3),628-32,R3,b,853.05,4206.8,93.41,43.64,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,11.31,497.29,497.29,27.0,left,幾何二分法,17,✅,0.417,11.26,
74·G025@R3,74·G025,R3,74avg·R3,875.68,4206.8,93.41,43.64,1.9349,2.0,0.0,否,否,—,0.0,0.0,0.0,11.59,511.31,511.31,38.59,left,幾何二分法,16,✅,0.4161,11.54,
628-45(2),628-45,R3,b,1111.56,4206.8,93.41,43.64,1.9407,2.0,1.0,是,是,右側,44.9,13.78,86.98,13.84,614.12,614.12,13.84,right,幾何二分法,13,✅,0.4475,13.78,
628-42(2),628-42,R3,b,770.0,4206.8,93.41,43.64,1.9407,2.0,1.0,否,否,—,44.9,23.69,13.04,9.95,444.02,444.02,23.79,right,幾何二分法,17,✅,0.4234,9.91,
628-30(3),628-30,R3,b,834.95,4206.8,93.41,43.64,1.9407,2.0,1.0,否,否,—,44.9,34.59,0.0,10.94,486.97,486.96,34.73,right,幾何二分法,16,✅,0.4168,10.89,
628-31(3),628-31,R3,b,773.75,4206.8,93.41,43.64,1.9407,2.0,1.0,否,否,—,44.9,44.72,0.0,10.17,451.22,451.22,44.9,right,幾何二分法,16,✅,0.4168,10.13,
R3-抵費地-1,—,R3,—,0.0,4206.8,93.41,43.64,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,436.14,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R3-抵費地-2,—,R3,—,0.0,4206.8,93.41,43.64,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,78.19,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
