暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-43(1),628-43,R2,,0.45,4368.6,100.03,43.9,1,2,1,否,否,—,44.95,16.54,0.02,0.01,0.34,0.35,16.58,left,幾何二分法,15,✅,0.2222,0.01,⚠️移出/第1調配順位
628-30(2),628-30,R2,,150.3,4368.6,100.03,43.9,1,2,1,否,否,—,44.95,19.15,3.98,2.62,117.2,117.2,19.2,left,幾何二分法,15,✅,0.2202,2.61,⚠️移出/第1調配順位
628-39(1),628-39,R2,,395.15,4368.6,100.03,43.9,1,2,1,否,否,—,44.95,26.12,0,6.98,312.61,312.62,26.18,left,幾何二分法,15,✅,0.2089,6.96,
628-31(2),628-31,R2,,654.32,4368.6,100.03,43.9,1,2,1,否,否,—,44.95,37.68,0,11.59,517.62,517.61,37.77,left,幾何二分法,15,✅,0.2089,11.56,
628-35(1),628-35,R2,,98.54,4368.6,100.03,43.9,1,2,0,否,否,—,0,0,0,1.77,77.91,77.9,1.77,right,幾何二分法,16,✅,0.2095,1.77,⚠️移出/第1調配順位
628-34(1),628-34,R2,,722.28,4368.6,100.03,43.9,1,2,0,否,否,—,0,0,0,12.95,571.04,571.05,14.72,right,幾何二分法,17,✅,0.2094,12.92,
628-49(1),628-49,R2,,109.39,4368.6,100.03,43.9,1,2,0,否,否,—,0,0,0,1.96,86.5,86.49,16.68,right,幾何二分法,14,✅,0.2093,1.96,⚠️移出/第1調配順位
628-50(1),628-50,R2,,246,4368.6,100.03,43.9,1,2,0,否,否,—,0,0,0,4.4,194.51,194.51,21.08,right,幾何二分法,13,✅,0.2093,4.39,
628-51(1),628-51,R2,,245,4368.6,100.03,43.9,1,2,0,否,否,—,0,0,0,4.38,193.73,193.73,25.46,right,幾何二分法,17,✅,0.2093,4.37,
628-52(1),628-52,R2,,119.66,4368.6,100.03,43.9,1,2,0,否,否,—,0,0,0,2.14,94.62,94.62,27.6,right,幾何二分法,17,✅,0.2093,2.13,⚠️移出/第1調配順位
628-32(2),628-32,R2,,730.37,4368.6,100.03,43.9,1,2,0,否,否,—,0,0,0,13.02,577.58,577.59,40.62,right,幾何二分法,16,✅,0.2092,12.99,
R2-抵費地,—,R2,—,0,4368.6,100.03,43.9,0,0,0,—,—,—,0,0,0,0,963.07,0,0,抵費地,幾何剩餘,0,🟡,0,,
628(1),628,R4,,2428.44,3207.87,98.89,32.59,1,0,1,是,是,左側,33.27,60.53,100,60.6,1973.79,1973.79,60.6,left,幾何二分法,16,✅,0.1872,60.54,
628-1(1),628-1,R4,,757.92,3207.87,98.89,32.59,1,0,1,是,是,右側,33.08,18.91,100,18.93,593.32,593.32,18.93,right,幾何二分法,14,✅,0.2172,18.91,
R4-抵費地,—,R4,—,0,3207.87,98.89,32.59,0,0,0,—,—,—,0,0,0,0,640.68,0,0,抵費地,幾何剩餘,0,🟡,0,,
628(2),628,R6,,11.49,3976.3,85.85,44.59,1,2,0,否,否,—,0,0,0,0.19,9.12,9.11,0.19,left,幾何二分法,17,✅,0.2071,0.19,⚠️移出/第1調配順位
