測項,違規列序,違規全文
v3·診斷0m,82,"[v3·診斷0m] ('R1', '左', '628-36(1)') 欄「截角邊(range)」: baseline='4.569' got=4.773"
v3·診斷0m,83,"[v3·診斷0m] ('R1', '左', '628-35(2)') 欄「真交集(㎡)」: baseline='33.67' got=35.12"
v3·診斷0m,84,"[v3·診斷0m] ('R1', '左', '628-35(2)') 欄「範圍面積(㎡)」: baseline='109.79' got=114.76"
v3·診斷0m,85,"[v3·診斷0m] ('R1', '左', '628-35(2)') 欄「門檻(㎡)」: baseline='109.79' got=114.76"
v3·診斷0m,86,"[v3·診斷0m] ('R1', '左', '628-35(2)') 欄「截角邊(range)」: baseline='4.569' got=4.773"
v3·診斷0m,87,"[v3·診斷0m] ('R1', '右', '628(5)') 欄「真交集(㎡)」: baseline='110.56' got=116.83"
v3·診斷0m,88,"[v3·診斷0m] ('R1', '右', '628(5)') 欄「範圍面積(㎡)」: baseline='110.56' got=116.84"
v3·診斷0m,89,"[v3·診斷0m] ('R1', '右', '628(5)') 欄「門檻(㎡)」: baseline='110.56' got=116.84"
v3·診斷0m,90,"[v3·診斷0m] ('R1', '右', '628(5)') 欄「截角邊(range)」: baseline='4.927' got=5.033"
v3·診斷0m,91,"[v3·診斷0m] ('R1', '右', '628(5)') 欄「正街角分(0.4)」: baseline='0.4' got=0.392"
v3·診斷0m,92,"[v3·診斷0m] ('R1', '右', '628(5)') 欄「總分」: baseline='1.0' got=0.9919"
無串聯0m,0,"[無串聯0m] 多列 ('R5', '左', '628-7(2)')"
無串聯0m,1,"[無串聯0m] 多列 ('R2', '左', '628-40(1)')"
無串聯0m,2,"[無串聯0m] ('R4', '左', '628(1)') 欄「真交集(㎡)」: baseline='109.15' got=135.05"
無串聯0m,3,"[無串聯0m] ('R4', '左', '628(1)') 欄「範圍面積(㎡)」: baseline='109.2' got=135.15"
無串聯0m,4,"[無串聯0m] ('R4', '左', '628(1)') 欄「門檻(㎡)」: baseline='109.2' got=135.15"
無串聯0m,5,"[無串聯0m] ('R4', '右', '628-1(1)') 欄「真交集(㎡)」: baseline='109.65' got=136.93"
無串聯0m,6,"[無串聯0m] ('R4', '右', '628-1(1)') 欄「範圍面積(㎡)」: baseline='109.7' got=137.03"
無串聯0m,7,"[無串聯0m] ('R4', '右', '628-1(1)') 欄「門檻(㎡)」: baseline='109.7' got=137.03"
無串聯0m,8,"[無串聯0m] ('R6', '右', '628-18(1)') 欄「真交集(㎡)」: baseline='16.81' got=16.67"
無串聯0m,9,"[無串聯0m] ('R6', '右', '628-18(1)') 欄「範圍面積(㎡)」: baseline='146.38' got=145.88"
無串聯0m,10,"[無串聯0m] ('R6', '右', '628-18(1)') 欄「門檻(㎡)」: baseline='146.38' got=145.88"
無串聯0m,11,"[無串聯0m] ('R6', '右', '628-38(1)') 欄「真交集(㎡)」: baseline='129.13' got=128.78"
無串聯0m,12,"[無串聯0m] ('R6', '右', '628-38(1)') 欄「範圍面積(㎡)」: baseline='146.38' got=145.88"
無串聯0m,13,"[無串聯0m] ('R6', '右', '628-38(1)') 欄「門檻(㎡)」: baseline='146.38' got=145.88"
無串聯0m,14,"[無串聯0m] ('R5', '左', '628-18(2)') 欄「真交集(㎡)」: baseline='130.41' got=199.89"
無串聯0m,15,"[無串聯0m] ('R5', '左', '628-18(2)') 欄「範圍面積(㎡)」: baseline='146.93' got=225.24"
無串聯0m,16,"[無串聯0m] ('R5', '左', '628-18(2)') 欄「門檻(㎡)」: baseline='146.93' got=225.24"
無串聯0m,17,"[無串聯0m] ('R5', '左', '628-18(2)') 欄「達標」: baseline='達標' got='未達標'"
無串聯0m,18,"[無串聯0m] ('R5', '左', '628-18(2)') 欄「正街角分(0.4)」: baseline='0.0' got='—'"
無串聯0m,19,"[無串聯0m] ('R5', '左', '628-18(2)') 欄「側街分(0.2)」: baseline='0.1697' got='—'"
無串聯0m,20,"[無串聯0m] ('R5', '左', '628-18(2)') 欄「跨占分(0.4)」: baseline='0.355' got='—'"
無串聯0m,21,"[無串聯0m] ('R5', '左', '628-18(2)') 欄「總分」: baseline='0.5247' got='—'"
無串聯0m,22,"[無串聯0m] ('R5', '左', '628-18(2)') 欄「選中」: baseline='✅' got=''"
無串聯0m,23,"[無串聯0m] ('R5', '左', '628-53(2)') 欄「範圍面積(㎡)」: baseline='146.93' got=225.24"
無串聯0m,24,"[無串聯0m] ('R5', '左', '628-53(2)') 欄「門檻(㎡)」: baseline='146.93' got=225.24"
無串聯0m,25,"[無串聯0m] ('R5', '左', '628-53(2)') 欄「項三比(≤1)」: baseline='0.019' got=0.0124"
無串聯0m,26,"[無串聯0m] ('R5', '左', '628-45(1)') 欄「真交集(㎡)」: baseline='13.73' got=20.97"
無串聯0m,27,"[無串聯0m] ('R5', '左', '628-45(1)') 欄「範圍面積(㎡)」: baseline='146.93' got=225.24"
無串聯0m,28,"[無串聯0m] ('R5', '左', '628-45(1)') 欄「門檻(㎡)」: baseline='146.93' got=225.24"
無串聯0m,29,"[無串聯0m] ('R2', '左', '628-41(1)') 欄「真交集(㎡)」: baseline='140.87' got=199.71"
無串聯0m,30,"[無串聯0m] ('R2', '左', '628-41(1)') 欄「範圍面積(㎡)」: baseline='151.44' got=225.69"
無串聯0m,31,"[無串聯0m] ('R2', '左', '628-41(1)') 欄「門檻(㎡)」: baseline='151.44' got=225.69"
無串聯0m,32,"[無串聯0m] ('R2', '左', '628-41(1)') 欄「項三比(≤1)」: baseline='0.9302' got=0.8849"
無串聯0m,33,"[無串聯0m] ('R2', '左', '628-41(1)') 欄「達標」: baseline='達標' got='未達標'"
無串聯0m,34,"[無串聯0m] ('R2', '左', '628-41(1)') 欄「正街角分(0.4)」: baseline='0.4' got='—'"
無串聯0m,35,"[無串聯0m] ('R2', '左', '628-41(1)') 欄「側街分(0.2)」: baseline='0.1588' got='—'"
無串聯0m,36,"[無串聯0m] ('R2', '左', '628-41(1)') 欄「跨占分(0.4)」: baseline='0.3721' got='—'"
無串聯0m,37,"[無串聯0m] ('R2', '左', '628-41(1)') 欄「總分」: baseline='0.9309' got='—'"
無串聯0m,38,"[無串聯0m] ('R2', '左', '628-41(1)') 欄「選中」: baseline='✅' got=''"
無串聯0m,39,"[無串聯0m] ('R2', '左', '628-42(1)') 欄「真交集(㎡)」: baseline='8.27' got=8.3"
無串聯0m,40,"[無串聯0m] ('R2', '左', '628-42(1)') 欄「範圍面積(㎡)」: baseline='151.44' got=225.69"
無串聯0m,41,"[無串聯0m] ('R2', '左', '628-42(1)') 欄「門檻(㎡)」: baseline='151.44' got=225.69"
無串聯0m,42,"[無串聯0m] ('R2', '左', '628-42(1)') 欄「項三比(≤1)」: baseline='0.0546' got=0.0368"
無串聯0m,43,"[無串聯0m] ('R2', '左', '628-27(1)') 欄「真交集(㎡)」: baseline='1.97' got=9.02"
無串聯0m,44,"[無串聯0m] ('R2', '左', '628-27(1)') 欄「範圍面積(㎡)」: baseline='151.44' got=225.69"
無串聯0m,45,"[無串聯0m] ('R2', '左', '628-27(1)') 欄「門檻(㎡)」: baseline='151.44' got=225.69"
無串聯0m,46,"[無串聯0m] ('R2', '左', '628-27(1)') 欄「項三比(≤1)」: baseline='0.013' got=0.04"
無串聯0m,47,"[無串聯0m] ('R3', '右', '628-45(2)') 欄「真交集(㎡)」: baseline='36.27' got=63.47"
無串聯0m,48,"[無串聯0m] ('R3', '右', '628-45(2)') 欄「範圍面積(㎡)」: baseline='152.82' got=226.91"
無串聯0m,49,"[無串聯0m] ('R3', '右', '628-45(2)') 欄「門檻(㎡)」: baseline='152.82' got=226.91"
無串聯0m,50,"[無串聯0m] ('R3', '右', '628-45(2)') 欄「項三比(≤1)」: baseline='0.2373' got=0.2797"
無串聯0m,51,"[無串聯0m] ('R3', '右', '628-45(2)') 欄「達標」: baseline='達標' got='未達標'"
無串聯0m,52,"[無串聯0m] ('R3', '右', '628-45(2)') 欄「截角邊(range)」: baseline='2.682' got=4.854"
無串聯0m,53,"[無串聯0m] ('R3', '右', '628-45(2)') 欄「臨截角」: baseline='2.682' got=4.854"
無串聯0m,54,"[無串聯0m] ('R3', '右', '628-45(2)') 欄「正街角分(0.4)」: baseline='0.4' got='—'"
無串聯0m,55,"[無串聯0m] ('R3', '右', '628-45(2)') 欄「側街分(0.2)」: baseline='0.0635' got='—'"
無串聯0m,56,"[無串聯0m] ('R3', '右', '628-45(2)') 欄「跨占分(0.4)」: baseline='0.0949' got='—'"
無串聯0m,57,"[無串聯0m] ('R3', '右', '628-45(2)') 欄「總分」: baseline='0.5585' got='—'"
無串聯0m,58,"[無串聯0m] ('R3', '右', '628-45(2)') 欄「選中」: baseline='✅' got=''"
無串聯0m,59,"[無串聯0m] ('R3', '右', '628-42(2)') 欄「真交集(㎡)」: baseline='102.31' got=129.29"
